date,pure,stats,mech,physics,compsci
Jan 0,0,0,0,0,0
Jan 1,0,0,0,0,0
Jan 2,0,0,0,0,0
Jan 3,0,0,0,0,0
Jan 4,0,0,0,0,0
Jan 5,0,0,0,0,0
Jan 6,0,0,0,0,0
Jan 7,0,0,0,0,0
Jan 8,0,0,0,0,0
Jan 9,0,0,0,0,0
Jan 10,0,0,0,0,0
Jan 11,0,0,0,0,0
Jan 12,0,0,0,0,0
Jan 13,0,0,0,0,0
Jan 14,0,0,0,0,0
Jan 15,0,0,0,0,0
Jan 16,0,0,0,0,0
Jan 17,0,0,0,0,0
Jan 18,0,0,0,0,0
Jan 19,0,0,0,0,0
Jan 20,0,0,0,0,0
Jan 21,0,0,0,0,0
Jan 22,0,0,0,0,0
Jan 23,0,0,0,0,0
Jan 24,0,0,0,0,0
Jan 25,0,0,0,0,0
Jan 26,0,0,0,0,0
Jan 27,0,0,0,0,0
Jan 28,0,0,0,0,0
Jan 29,0,0,0,0,0
Jan 30,0,0,0,0,0
Jan 31,0,0,0,0,0
Feb 1,0,0,0,0,0
Feb 2,0,0,0,0,0
Feb 3,0,0,0,0,0
Feb 4,0,0,0,0,0
Feb 5,0,0,0,0,0
Feb 6,0,0,0,0,0
Feb 7,0,0,0,0,0
Feb 8,0,0,0,0,0
Feb 9,0,0,0,0,0
Feb 10,0,0,0,0,0
Feb 11,0,0,0,0,0
Feb 12,0,0,0,0,0
Feb 13,0,0,0,0,0
Feb 14,0,0,0,0,0
Feb 15,0,0,0,0,0
Feb 16,0,0,0,0,0
Feb 17,0,0,0,0,0
Feb 18,0,0,0,0,0
Feb 19,0,0,0,0,0
Feb 20,0,0,0,0,0
Feb 21,0,0,0,0,0
Feb 22,0,0,0,0,0
Feb 23,0,0,0,0,0
Feb 24,0,0,0,0,0
Feb 25,0,0,0,0,0
Feb 26,0,0,0,0,0
Feb 27,0,0,0,0,0
Feb 28,0,0,0,0,0
Mar 1,0,0,0,0,0
Mar 2,0,0,0,0,0
Mar 3,0,0,0,0,0
Mar 4,0,0,0,0,0
Mar 5,0,0,0,0,0
Mar 6,0,0,0,0,0
Mar 7,0,0,0,0,0
Mar 8,0,0,0,0,0
Mar 9,0,0,0,0,0
Mar 10,0,0,0,0,0
Mar 11,0,0,0,0,0
Mar 12,0,0,0,0,0
Mar 13,0,0,0,0,0
Mar 14,0,0,0,0,0
Mar 15,0,0,0,0,0
Mar 16,0,0,0,0,0
Mar 17,0,0,0,0,0
Mar 18,0,0,0,0,0
Mar 19,0,0,0,0,0
Mar 20,0,0,0,0,0
Mar 21,0,0,0,0,0
Mar 22,0,0,0,0,0
Mar 23,0,0,0,0,0
Mar 24,0,0,0,0,0
Mar 25,0,0,0,0,0
Mar 26,0,0,0,0,0
Mar 27,0,0,0,0,0
Mar 28,0,0,0,0,0
Mar 29,0,0,0,0,0
Mar 30,0,0,0,0,0
Mar 31,0,0,0,0,0
Apr 1,0,0,0,0,0
Apr 2,0,0,0,0,0
Apr 3,0,0,0,0,0
Apr 4,0,0,0,0,0
Apr 5,0,0,0,0,0
Apr 6,0,0,0,0,0
Apr 7,0,0,0,0,0
Apr 8,0,0,0,0,0
Apr 9,0,0,0,0,0
Apr 10,0,0,0,0,0
Apr 11,0,0,0,0,0
Apr 12,0,0,0,0,0
Apr 13,0,0,0,0,0
Apr 14,0,0,0,0,0
Apr 15,0,0,0,0,0
Apr 16,0,0,0,0,0
Apr 17,0,0,0,0,0
Apr 18,0,0,0,0,0
Apr 19,0,0,0,0,0
Apr 20,0,0,0,0,0
Apr 21,0,0,0,0,0
Apr 22,0,0,0,0,0
Apr 23,0,0,0,0,0
Apr 24,0,0,0,0,0
Apr 25,0,0,0,0,0
Apr 26,0,0,0,0,0
Apr 27,0,0,0,0,0
Apr 28,0,0,0,0,0
Apr 29,0,0,0,0,0
Apr 30,0,0,0,0,0
May 1,0,0,0,0,0
May 2,0,0,0,0,0
May 3,0,0,0,0,0
May 4,0,0,0,0,0
May 5,0,0,0,0,0
May 6,0,0,0,0,0
May 7,0,0,0,0,0
May 8,0,0,0,0,0
May 9,0,0,0,0,0
May 10,0,0,0,0,0
May 11,0,0,0,0,0
May 12,0,0,0,0,0
May 13,0,0,0,0,0
May 14,0,0,0,0,0
May 15,0,0,0,0,0
May 16,0,0,0,0,0
May 17,0,0,0,0,0
May 18,0,0,0,0,0
May 19,0,0,0,0,0
May 20,0,0,0,0,0
May 21,0,0,0,0,0
May 22,0,0,0,0,0
May 23,0,0,0,0,0
May 24,0,0,0,0,0
May 25,0,0,0,0,0
May 26,0,0,0,0,0
May 27,0,0,0,0,0
May 28,0,0,0,0,0
May 29,0,0,0,0,0
May 30,0,0,0,0,0
May 31,0,0,0,0,0
Jun 1,0,0,0,0,0
Jun 2,0,0,0,0,0
Jun 3,0,0,0,0,0
Jun 4,0,0,0,0,0
Jun 5,0,0,0,0,0
Jun 6,0,0,0,0,0
Jun 7,0,0,0,0,0
Jun 8,0,0,0,0,0
Jun 9,0,0,0,0,0
Jun 10,0,0,0,0,0
Jun 11,0,0,0,0,0
Jun 12,0,0,0,0,0
Jun 13,0,0,0,0,0
Jun 14,0,0,0,0,0
Jun 15,0,0,0,0,0
Jun 16,0,0,0,0,0
Jun 17,0,0,0,0,0
Jun 18,0,0,0,0,0
Jun 19,0,0,0,0,0
Jun 20,0,0,0,0,0
Jun 21,0,0,0,0,0
Jun 22,0,0,0,0,0
Jun 23,0,0,0,0,0
Jun 24,0,0,0,0,0
Jun 25,0,0,0,0,0
Jun 26,0,0,0,0,0
Jun 27,0,0,0,0,0
Jun 28,0,0,0,0,0
Jun 29,0,0,0,0,0
Jun 30,0,0,0,0,0
Jul 1,0,0,0,0,0
Jul 2,0,0,0,0,0
Jul 3,0,0,0,0,0
Jul 4,0,0,0,0,0
Jul 5,0,0,0,0,0
Jul 6,0,0,0,0,0
Jul 7,0,0,0,0,0
Jul 8,0,0,0,0,0
Jul 9,0,0,0,0,0
Jul 10,0,0,0,0,0
Jul 11,0,0,0,0,0
Jul 12,0,0,0,0,0
Jul 13,0,0,0,0,0
Jul 14,0,0,0,0,0
Jul 15,0,0,0,0,0
Jul 16,0,0,0,0,0
