day,month,pure,stats,mech,physics,compsci,else,score
1.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,Jan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,Feb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,Mar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
